example,split,start,end,duration_minutes,frames
KTLX-20220330T110310-115215-034,training,2022-03-30T11:03:10+00:00,2022-03-30T11:52:15+00:00,49.083,30
KTLX-20220330T115603-124526-035,training,2022-03-30T11:56:03+00:00,2022-03-30T12:45:26+00:00,49.383,30
KTLX-20220330T144536-160751-036,training,2022-03-30T14:45:36+00:00,2022-03-30T16:07:51+00:00,82.25,30
KTLX-20220411T225256-235918-037,training,2022-04-11T22:52:56+00:00,2022-04-11T23:59:18+00:00,66.367,30
KTLX-20220412T045322-055055-038,training,2022-04-12T04:53:22+00:00,2022-04-12T05:50:55+00:00,57.55,30
KTLX-20220412T162608-175555-039,training,2022-04-12T16:26:08+00:00,2022-04-12T17:55:55+00:00,89.783,30
KTLX-20220412T202519-212905-040,training,2022-04-12T20:25:19+00:00,2022-04-12T21:29:05+00:00,63.767,30
KTLX-20220413T030538-041817-041,training,2022-04-13T03:05:38+00:00,2022-04-13T04:18:17+00:00,72.65,30
KTLX-20220413T095240-111716-042,training,2022-04-13T09:52:40+00:00,2022-04-13T11:17:16+00:00,84.6,30
KTLX-20220413T112456-123939-043,training,2022-04-13T11:24:56+00:00,2022-04-13T12:39:39+00:00,74.717,30
KTLX-20220413T163748-173728-044,training,2022-04-13T16:37:48+00:00,2022-04-13T17:37:28+00:00,59.667,30
KTLX-20220416T031259-041535-045,training,2022-04-16T03:12:59+00:00,2022-04-16T04:15:35+00:00,62.6,30
KTLX-20220416T052828-062647-046,training,2022-04-16T05:28:28+00:00,2022-04-16T06:26:47+00:00,58.317,30
KTLX-20220416T074516-084632-047,training,2022-04-16T07:45:16+00:00,2022-04-16T08:46:32+00:00,61.267,30
KTLX-20220416T101113-111033-048,training,2022-04-16T10:11:13+00:00,2022-04-16T11:10:33+00:00,59.333,30
KTLX-20220420T222846-234545-049,training,2022-04-20T22:28:46+00:00,2022-04-20T23:45:45+00:00,76.983,30
KTLX-20220421T001141-010303-050,training,2022-04-21T00:11:41+00:00,2022-04-21T01:03:03+00:00,51.367,30
KTLX-20220421T011014-023101-051,training,2022-04-21T01:10:14+00:00,2022-04-21T02:31:01+00:00,80.783,30
KTLX-20220423T230319-235827-052,training,2022-04-23T23:03:19+00:00,2022-04-23T23:58:27+00:00,55.133,30
KTLX-20220424T000244-010139-053,training,2022-04-24T00:02:44+00:00,2022-04-24T01:01:39+00:00,58.917,30
KTLX-20220424T044743-054629-054,training,2022-04-24T04:47:43+00:00,2022-04-24T05:46:29+00:00,58.767,30
KTLX-20220424T064729-074221-055,training,2022-04-24T06:47:29+00:00,2022-04-24T07:42:21+00:00,54.867,30
KTLX-20220424T084212-094144-056,training,2022-04-24T08:42:12+00:00,2022-04-24T09:41:44+00:00,59.533,30
KTLX-20220424T103817-112428-057,training,2022-04-24T10:38:17+00:00,2022-04-24T11:24:28+00:00,46.183,30
KTLX-20220424T113105-122023-058,training,2022-04-24T11:31:05+00:00,2022-04-24T12:20:23+00:00,49.3,30
KTLX-20220424T140152-150404-059,training,2022-04-24T14:01:52+00:00,2022-04-24T15:04:04+00:00,62.2,30
KTLX-20220424T201031-213153-060,training,2022-04-24T20:10:31+00:00,2022-04-24T21:31:53+00:00,81.367,30
KTLX-20220424T224700-235905-061,training,2022-04-24T22:47:00+00:00,2022-04-24T23:59:05+00:00,72.083,30
KTLX-20220425T000135-011443-062,training,2022-04-25T00:01:35+00:00,2022-04-25T01:14:43+00:00,73.133,30
KTLX-20220425T022219-033700-063,training,2022-04-25T02:22:19+00:00,2022-04-25T03:37:00+00:00,74.683,30
KTLX-20220425T040158-051148-064,training,2022-04-25T04:01:58+00:00,2022-04-25T05:11:48+00:00,69.833,30
KTLX-20220425T071650-081702-065,training,2022-04-25T07:16:50+00:00,2022-04-25T08:17:02+00:00,60.2,30
KTLX-20220425T082110-093747-066,training,2022-04-25T08:21:10+00:00,2022-04-25T09:37:47+00:00,76.617,30
KTLX-20220428T053938-064104-067,training,2022-04-28T05:39:38+00:00,2022-04-28T06:41:04+00:00,61.433,30
KTLX-20220428T071755-081832-068,training,2022-04-28T07:17:55+00:00,2022-04-28T08:18:32+00:00,60.617,30
KTLX-20220428T082038-091810-069,training,2022-04-28T08:20:38+00:00,2022-04-28T09:18:10+00:00,57.533,30
KTLX-20220428T093108-103320-070,training,2022-04-28T09:31:08+00:00,2022-04-28T10:33:20+00:00,62.2,30
KTLX-20220428T103938-115237-071,training,2022-04-28T10:39:38+00:00,2022-04-28T11:52:37+00:00,72.983,30
KTLX-20220429T060909-071015-072,training,2022-04-29T06:09:09+00:00,2022-04-29T07:10:15+00:00,61.1,30
KTLX-20220429T074516-084603-073,training,2022-04-29T07:45:16+00:00,2022-04-29T08:46:03+00:00,60.783,30
KTLX-20220429T101243-112829-074,training,2022-04-29T10:12:43+00:00,2022-04-29T11:28:29+00:00,75.767,30
KTLX-20220429T212723-223013-075,training,2022-04-29T21:27:23+00:00,2022-04-29T22:30:13+00:00,62.833,30
KTLX-20220429T224632-235144-076,training,2022-04-29T22:46:32+00:00,2022-04-29T23:51:44+00:00,65.2,30
KTLX-20220430T004453-014810-077,training,2022-04-30T00:44:53+00:00,2022-04-30T01:48:10+00:00,63.283,30
KTLX-20220430T055348-071921-078,training,2022-04-30T05:53:48+00:00,2022-04-30T07:19:21+00:00,85.55,30
KTLX-20220430T113853-123420-079,training,2022-04-30T11:38:53+00:00,2022-04-30T12:34:20+00:00,55.45,30
KTLX-20220430T131113-142734-080,training,2022-04-30T13:11:13+00:00,2022-04-30T14:27:34+00:00,76.35,30
KTLX-20220502T020936-030901-081,training,2022-05-02T02:09:36+00:00,2022-05-02T03:09:01+00:00,59.417,30
KTLX-20220502T035316-050825-082,training,2022-05-02T03:53:16+00:00,2022-05-02T05:08:25+00:00,75.15,30
KTLX-20220502T073756-084104-083,training,2022-05-02T07:37:56+00:00,2022-05-02T08:41:04+00:00,63.133,30
KTLX-20220502T111542-123251-084,training,2022-05-02T11:15:42+00:00,2022-05-02T12:32:51+00:00,77.15,30
KTLX-20220502T130902-142541-085,training,2022-05-02T13:09:02+00:00,2022-05-02T14:25:41+00:00,76.65,30
KTLX-20220502T151704-162750-086,training,2022-05-02T15:17:04+00:00,2022-05-02T16:27:50+00:00,70.767,30
KTLX-20220502T202724-212152-087,training,2022-05-02T20:27:24+00:00,2022-05-02T21:21:52+00:00,54.467,30
KTLX-20220503T001726-010547-088,training,2022-05-03T00:17:26+00:00,2022-05-03T01:05:47+00:00,48.35,30
KTLX-20220503T011226-020114-089,training,2022-05-03T01:12:26+00:00,2022-05-03T02:01:14+00:00,48.8,30
KTLX-20220503T020751-033014-090,training,2022-05-03T02:07:51+00:00,2022-05-03T03:30:14+00:00,82.383,30
KTLX-20220503T035553-044915-091,training,2022-05-03T03:55:53+00:00,2022-05-03T04:49:15+00:00,53.367,30
KTLX-20220503T051224-055732-092,training,2022-05-03T05:12:24+00:00,2022-05-03T05:57:32+00:00,45.133,30
KTLX-20220503T065317-080038-093,training,2022-05-03T06:53:17+00:00,2022-05-03T08:00:38+00:00,67.35,30
KTLX-20220504T100817-110530-094,training,2022-05-04T10:08:17+00:00,2022-05-04T11:05:30+00:00,57.217,30
KTLX-20220504T112942-122730-095,training,2022-05-04T11:29:42+00:00,2022-05-04T12:27:30+00:00,57.8,30
KTLX-20220504T124932-134559-096,training,2022-05-04T12:49:32+00:00,2022-05-04T13:45:59+00:00,56.45,30
KTLX-20220504T141503-150756-097,training,2022-05-04T14:15:03+00:00,2022-05-04T15:07:56+00:00,52.883,30
KTLX-20220504T151159-155913-098,training,2022-05-04T15:11:59+00:00,2022-05-04T15:59:13+00:00,47.233,30
KTLX-20220504T160050-164615-099,training,2022-05-04T16:00:50+00:00,2022-05-04T16:46:15+00:00,45.417,30
KTLX-20220504T170420-175111-100,training,2022-05-04T17:04:20+00:00,2022-05-04T17:51:11+00:00,46.85,30
KTLX-20220504T175221-183817-101,training,2022-05-04T17:52:21+00:00,2022-05-04T18:38:17+00:00,45.933,30
KTLX-20220504T184112-193228-102,training,2022-05-04T18:41:12+00:00,2022-05-04T19:32:28+00:00,51.267,30
KTLX-20220504T193748-203240-103,training,2022-05-04T19:37:48+00:00,2022-05-04T20:32:40+00:00,54.867,30
KTLX-20220504T222609-232225-104,training,2022-05-04T22:26:09+00:00,2022-05-04T23:22:25+00:00,56.267,30
KTLX-20220505T005723-015602-105,training,2022-05-05T00:57:23+00:00,2022-05-05T01:56:02+00:00,58.65,30
KTLX-20220505T174210-184206-106,training,2022-05-05T17:42:10+00:00,2022-05-05T18:42:06+00:00,59.933,30
KTLX-20220505T185052-194817-107,training,2022-05-05T18:50:52+00:00,2022-05-05T19:48:17+00:00,57.417,30
KTLX-20220505T195002-204532-108,training,2022-05-05T19:50:02+00:00,2022-05-05T20:45:32+00:00,55.5,30
KTLX-20220514T125428-142004-109,training,2022-05-14T12:54:28+00:00,2022-05-14T14:20:04+00:00,85.6,30
KTLX-20220514T142422-154911-110,training,2022-05-14T14:24:22+00:00,2022-05-14T15:49:11+00:00,84.817,30
KTLX-20220515T011228-021405-111,training,2022-05-15T01:12:28+00:00,2022-05-15T02:14:05+00:00,61.617,30
KTLX-20220515T031131-042412-112,training,2022-05-15T03:11:31+00:00,2022-05-15T04:24:12+00:00,72.683,30
KTLX-20220515T044525-060259-113,training,2022-05-15T04:45:25+00:00,2022-05-15T06:02:59+00:00,77.567,30
KTLX-20220515T061518-073010-114,training,2022-05-15T06:15:18+00:00,2022-05-15T07:30:10+00:00,74.867,30
KTLX-20220515T073246-084714-115,training,2022-05-15T07:32:46+00:00,2022-05-15T08:47:14+00:00,74.467,30
KTLX-20220516T001556-011030-116,training,2022-05-16T00:15:56+00:00,2022-05-16T01:10:30+00:00,54.567,30
KTLX-20220516T021615-030736-117,training,2022-05-16T02:16:15+00:00,2022-05-16T03:07:36+00:00,51.35,30
KTLX-20220517T053357-063848-118,training,2022-05-17T05:33:57+00:00,2022-05-17T06:38:48+00:00,64.85,30
KTLX-20220517T092610-104132-119,training,2022-05-17T09:26:10+00:00,2022-05-17T10:41:32+00:00,75.367,30
KTLX-20220519T073620-085102-120,training,2022-05-19T07:36:20+00:00,2022-05-19T08:51:02+00:00,74.7,30
KTLX-20220531T192339-201928-121,training,2022-05-31T19:23:39+00:00,2022-05-31T20:19:28+00:00,55.817,30
KTLX-20220531T203056-212914-122,training,2022-05-31T20:30:56+00:00,2022-05-31T21:29:14+00:00,58.3,30
KTLX-20220601T025818-041903-123,training,2022-06-01T02:58:18+00:00,2022-06-01T04:19:03+00:00,80.75,30
KTLX-20220601T053446-062641-124,training,2022-06-01T05:34:46+00:00,2022-06-01T06:26:41+00:00,51.917,30
KTLX-20220601T095115-110842-125,training,2022-06-01T09:51:15+00:00,2022-06-01T11:08:42+00:00,77.45,30
KTLX-20220601T111117-121914-126,training,2022-06-01T11:11:17+00:00,2022-06-01T12:19:14+00:00,67.95,30
KTLX-20220601T132634-143505-127,training,2022-06-01T13:26:34+00:00,2022-06-01T14:35:05+00:00,68.517,30
KTLX-20220601T161449-173149-128,training,2022-06-01T16:14:49+00:00,2022-06-01T17:31:49+00:00,77.0,30
KTLX-20220601T181237-193024-129,training,2022-06-01T18:12:37+00:00,2022-06-01T19:30:24+00:00,77.783,30
KTLX-20220601T204920-214239-130,training,2022-06-01T20:49:20+00:00,2022-06-01T21:42:39+00:00,53.317,30
KTLX-20220601T221223-230600-131,training,2022-06-01T22:12:23+00:00,2022-06-01T23:06:00+00:00,53.617,30
KTLX-20220602T001301-011120-132,training,2022-06-02T00:13:01+00:00,2022-06-02T01:11:20+00:00,58.317,30
KTLX-20220602T024516-040319-133,training,2022-06-02T02:45:16+00:00,2022-06-02T04:03:19+00:00,78.05,30
KTLX-20220602T040554-052353-134,training,2022-06-02T04:05:54+00:00,2022-06-02T05:23:53+00:00,77.983,30
KTLX-20220602T102952-113941-135,training,2022-06-02T10:29:52+00:00,2022-06-02T11:39:41+00:00,69.817,30
KTLX-20220602T114440-124950-136,training,2022-06-02T11:44:40+00:00,2022-06-02T12:49:50+00:00,65.167,30
KTLX-20220602T143413-153411-137,training,2022-06-02T14:34:13+00:00,2022-06-02T15:34:11+00:00,59.967,30
KTLX-20220602T160526-170540-138,training,2022-06-02T16:05:26+00:00,2022-06-02T17:05:40+00:00,60.233,30
KTLX-20220602T170950-181825-139,training,2022-06-02T17:09:50+00:00,2022-06-02T18:18:25+00:00,68.583,30
KTLX-20220606T024416-035500-140,training,2022-06-06T02:44:16+00:00,2022-06-06T03:55:00+00:00,70.733,30
KTLX-20220606T062247-072329-141,training,2022-06-06T06:22:47+00:00,2022-06-06T07:23:29+00:00,60.7,30
KTLX-20220606T073111-084650-142,training,2022-06-06T07:31:11+00:00,2022-06-06T08:46:50+00:00,75.65,30
KTLX-20220606T104937-115338-143,training,2022-06-06T10:49:37+00:00,2022-06-06T11:53:38+00:00,64.017,30
KTLX-20220607T044146-054224-144,training,2022-06-07T04:41:46+00:00,2022-06-07T05:42:24+00:00,60.633,30
KTLX-20220607T054620-064408-145,training,2022-06-07T05:46:20+00:00,2022-06-07T06:44:08+00:00,57.8,30
KTLX-20220607T065212-075140-146,training,2022-06-07T06:52:12+00:00,2022-06-07T07:51:40+00:00,59.467,30
KTLX-20220607T091621-102521-147,training,2022-06-07T09:16:21+00:00,2022-06-07T10:25:21+00:00,69.0,30
KTLX-20220607T112404-121821-148,training,2022-06-07T11:24:04+00:00,2022-06-07T12:18:21+00:00,54.283,30
KTLX-20220607T122817-132402-149,training,2022-06-07T12:28:17+00:00,2022-06-07T13:24:02+00:00,55.75,30
KTLX-20220607T143121-153333-150,training,2022-06-07T14:31:21+00:00,2022-06-07T15:33:33+00:00,62.2,30
KTLX-20220608T094522-103548-151,training,2022-06-08T09:45:22+00:00,2022-06-08T10:35:48+00:00,50.433,30
KTLX-20220608T112404-122105-152,training,2022-06-08T11:24:04+00:00,2022-06-08T12:21:05+00:00,57.017,30
KTLX-20220608T130157-135514-153,training,2022-06-08T13:01:57+00:00,2022-06-08T13:55:14+00:00,53.283,30
KTLX-20220608T144142-152826-154,training,2022-06-08T14:41:42+00:00,2022-06-08T15:28:26+00:00,46.733,30
KTLX-20220608T162706-174210-155,training,2022-06-08T16:27:06+00:00,2022-06-08T17:42:10+00:00,75.067,30
KTLX-20220608T183532-194216-156,training,2022-06-08T18:35:32+00:00,2022-06-08T19:42:16+00:00,66.733,30
KTLX-20220608T195136-205430-157,training,2022-06-08T19:51:36+00:00,2022-06-08T20:54:30+00:00,62.9,30
KTLX-20220609T202902-212850-158,training,2022-06-09T20:29:02+00:00,2022-06-09T21:28:50+00:00,59.8,30
KTLX-20220610T030424-042221-159,training,2022-06-10T03:04:24+00:00,2022-06-10T04:22:21+00:00,77.95,30
KTLX-20220610T043316-053617-160,training,2022-06-10T04:33:16+00:00,2022-06-10T05:36:17+00:00,63.017,30
KTLX-20220610T054122-064218-161,training,2022-06-10T05:41:22+00:00,2022-06-10T06:42:18+00:00,60.933,30
KTLX-20220610T073846-082738-162,training,2022-06-10T07:38:46+00:00,2022-06-10T08:27:38+00:00,48.867,30
KTLX-20220610T091850-100621-163,training,2022-06-10T09:18:50+00:00,2022-06-10T10:06:21+00:00,47.517,30
KTLX-20220610T102619-113102-164,training,2022-06-10T10:26:19+00:00,2022-06-10T11:31:02+00:00,64.717,30
KTLX-20220610T114147-130638-165,training,2022-06-10T11:41:47+00:00,2022-06-10T13:06:38+00:00,84.85,30
KTLX-20220709T002655-015234-166,training,2022-07-09T00:26:55+00:00,2022-07-09T01:52:34+00:00,85.65,30
KTLX-20220729T080938-093438-167,training,2022-07-29T08:09:38+00:00,2022-07-29T09:34:38+00:00,85.0,30
KTLX-20220729T104416-121325-168,training,2022-07-29T10:44:16+00:00,2022-07-29T12:13:25+00:00,89.15,30
KTLX-20220729T201336-213253-169,training,2022-07-29T20:13:36+00:00,2022-07-29T21:32:53+00:00,79.283,30
KTLX-20220729T221759-234143-170,training,2022-07-29T22:17:59+00:00,2022-07-29T23:41:43+00:00,83.733,30
KTLX-20220730T054706-064829-171,training,2022-07-30T05:47:06+00:00,2022-07-30T06:48:29+00:00,61.383,30
KTLX-20220730T070313-080135-172,training,2022-07-30T07:03:13+00:00,2022-07-30T08:01:35+00:00,58.367,30
KTLX-20220730T085429-095150-173,training,2022-07-30T08:54:29+00:00,2022-07-30T09:51:50+00:00,57.35,30
KTLX-20220730T100216-110516-174,training,2022-07-30T10:02:16+00:00,2022-07-30T11:05:16+00:00,63.0,30
KTLX-20220730T111320-121350-175,training,2022-07-30T11:13:20+00:00,2022-07-30T12:13:50+00:00,60.5,30
KTLX-20220730T124725-135151-176,training,2022-07-30T12:47:25+00:00,2022-07-30T13:51:51+00:00,64.433,30
KTLX-20220730T141521-151734-177,training,2022-07-30T14:15:21+00:00,2022-07-30T15:17:34+00:00,62.217,30
KTLX-20220730T154621-164814-178,training,2022-07-30T15:46:21+00:00,2022-07-30T16:48:14+00:00,61.883,30
KTLX-20220730T172515-182605-179,training,2022-07-30T17:25:15+00:00,2022-07-30T18:26:05+00:00,60.833,30
KTLX-20220730T184809-194553-180,training,2022-07-30T18:48:09+00:00,2022-07-30T19:45:53+00:00,57.733,30
KTLX-20220730T225733-235420-181,training,2022-07-30T22:57:33+00:00,2022-07-30T23:54:20+00:00,56.783,30
KTLX-20220731T044925-055102-182,training,2022-07-31T04:49:25+00:00,2022-07-31T05:51:02+00:00,61.617,30
KTLX-20220731T090714-102209-183,training,2022-07-31T09:07:14+00:00,2022-07-31T10:22:09+00:00,74.917,30
KTLX-20220731T114853-130320-184,training,2022-07-31T11:48:53+00:00,2022-07-31T13:03:20+00:00,74.45,30
KTLX-20220731T184156-200008-185,training,2022-07-31T18:41:56+00:00,2022-07-31T20:00:08+00:00,78.2,30
KTLX-20220801T012503-024005-186,training,2022-08-01T01:25:03+00:00,2022-08-01T02:40:05+00:00,75.033,30
KTLX-20220801T024213-034327-187,training,2022-08-01T02:42:13+00:00,2022-08-01T03:43:27+00:00,61.233,30
KTLX-20220801T062553-072700-188,training,2022-08-01T06:25:53+00:00,2022-08-01T07:27:00+00:00,61.117,30
KTLX-20220801T082302-092331-189,training,2022-08-01T08:23:02+00:00,2022-08-01T09:23:31+00:00,60.483,30
KTLX-20220801T093416-103550-190,training,2022-08-01T09:34:16+00:00,2022-08-01T10:35:50+00:00,61.567,30
KTLX-20220801T104008-114450-191,training,2022-08-01T10:40:08+00:00,2022-08-01T11:44:50+00:00,64.7,30
KTLX-20220801T123742-135417-192,training,2022-08-01T12:37:42+00:00,2022-08-01T13:54:17+00:00,76.583,30
KTLX-20220801T143105-155004-193,training,2022-08-01T14:31:05+00:00,2022-08-01T15:50:04+00:00,78.983,30
KTLX-20220801T172403-184233-194,training,2022-08-01T17:24:03+00:00,2022-08-01T18:42:33+00:00,78.5,30
KTLX-20220801T190916-202625-195,training,2022-08-01T19:09:16+00:00,2022-08-01T20:26:25+00:00,77.15,30
KTLX-20220802T114205-131058-196,training,2022-08-02T11:42:05+00:00,2022-08-02T13:10:58+00:00,88.883,30
KTLX-20220802T224558-235958-197,training,2022-08-02T22:45:58+00:00,2022-08-02T23:59:58+00:00,74.0,30
KTLX-20220902T001615-010156-198,training,2022-09-02T00:16:15+00:00,2022-09-02T01:01:56+00:00,45.683,30
KTLX-20220902T011332-020010-199,training,2022-09-02T01:13:32+00:00,2022-09-02T02:00:10+00:00,46.633,30
KTLX-20220902T020153-024721-200,training,2022-09-02T02:01:53+00:00,2022-09-02T02:47:21+00:00,45.467,30
KTLX-20220902T030615-043205-201,training,2022-09-02T03:06:15+00:00,2022-09-02T04:32:05+00:00,85.833,30
KTLX-20220916T013023-024616-202,training,2022-09-16T01:30:23+00:00,2022-09-16T02:46:16+00:00,75.883,30
KTLX-20221016T052453-061036-203,training,2022-10-16T05:24:53+00:00,2022-10-16T06:10:36+00:00,45.717,30
KTLX-20221016T132306-145203-204,training,2022-10-16T13:23:06+00:00,2022-10-16T14:52:03+00:00,88.95,30
KTLX-20221024T122012-132235-205,training,2022-10-24T12:20:12+00:00,2022-10-24T13:22:35+00:00,62.383,30
KTLX-20221024T134545-143338-206,training,2022-10-24T13:45:45+00:00,2022-10-24T14:33:38+00:00,47.883,30
KTLX-20221024T144459-153431-207,training,2022-10-24T14:44:59+00:00,2022-10-24T15:34:31+00:00,49.533,30
KTLX-20221024T154747-163543-208,training,2022-10-24T15:47:47+00:00,2022-10-24T16:35:43+00:00,47.933,30
KTLX-20221024T164736-173521-209,training,2022-10-24T16:47:36+00:00,2022-10-24T17:35:21+00:00,47.75,30
KTLX-20221024T180339-185138-210,training,2022-10-24T18:03:39+00:00,2022-10-24T18:51:38+00:00,47.983,30
KTLX-20221024T190955-195506-211,training,2022-10-24T19:09:55+00:00,2022-10-24T19:55:06+00:00,45.183,30
KTLX-20221024T230718-235337-212,training,2022-10-24T23:07:18+00:00,2022-10-24T23:53:37+00:00,46.317,30
KTLX-20221025T002414-011232-213,training,2022-10-25T00:24:14+00:00,2022-10-25T01:12:32+00:00,48.3,30
KTLX-20221104T110555-120334-214,training,2022-11-04T11:05:55+00:00,2022-11-04T12:03:34+00:00,57.65,30
KTLX-20221104T124633-134330-215,training,2022-11-04T12:46:33+00:00,2022-11-04T13:43:30+00:00,56.95,30
KTLX-20221104T151226-161201-216,training,2022-11-04T15:12:26+00:00,2022-11-04T16:12:01+00:00,59.583,30
KTLX-20221104T172504-181433-217,training,2022-11-04T17:25:04+00:00,2022-11-04T18:14:33+00:00,49.483,30
KTLX-20221104T192116-200707-218,training,2022-11-04T19:21:16+00:00,2022-11-04T20:07:07+00:00,45.85,30
KTLX-20221104T201325-205900-219,training,2022-11-04T20:13:25+00:00,2022-11-04T20:59:00+00:00,45.583,30
KTLX-20221104T223824-235822-220,training,2022-11-04T22:38:24+00:00,2022-11-04T23:58:22+00:00,79.967,30
KTLX-20221105T004754-021455-221,training,2022-11-05T00:47:54+00:00,2022-11-05T02:14:55+00:00,87.017,30
KTLX-20221105T021943-034324-222,training,2022-11-05T02:19:43+00:00,2022-11-05T03:43:24+00:00,83.683,30
KTLX-20221105T035734-044338-223,training,2022-11-05T03:57:34+00:00,2022-11-05T04:43:38+00:00,46.067,30
KTLX-20221210T013302-025916-224,training,2022-12-10T01:33:02+00:00,2022-12-10T02:59:16+00:00,86.233,30
KTLX-20221210T032804-043549-225,training,2022-12-10T03:28:04+00:00,2022-12-10T04:35:49+00:00,67.75,30
KTLX-20221213T040330-053234-226,training,2022-12-13T04:03:30+00:00,2022-12-13T05:32:34+00:00,89.067,30
KTLX-20221213T063343-072944-227,training,2022-12-13T06:33:43+00:00,2022-12-13T07:29:44+00:00,56.017,30
KTLX-20221213T075319-084618-228,training,2022-12-13T07:53:19+00:00,2022-12-13T08:46:18+00:00,52.983,30
KTLX-20221213T090848-100515-229,training,2022-12-13T09:08:48+00:00,2022-12-13T10:05:15+00:00,56.45,30
KTLX-20221213T105420-114738-230,training,2022-12-13T10:54:20+00:00,2022-12-13T11:47:38+00:00,53.3,30
KTLX-20221213T115926-124726-231,training,2022-12-13T11:59:26+00:00,2022-12-13T12:47:26+00:00,48.0,30
KTLX-20221213T161701-171904-232,training,2022-12-13T16:17:01+00:00,2022-12-13T17:19:04+00:00,62.05,30
KTLX-20221213T172116-182414-233,training,2022-12-13T17:21:16+00:00,2022-12-13T18:24:14+00:00,62.967,30
KTLX-20230102T204424-220942-234,training,2023-01-02T20:44:24+00:00,2023-01-02T22:09:42+00:00,85.3,30
KTLX-20230102T221141-225706-235,training,2023-01-02T22:11:41+00:00,2023-01-02T22:57:06+00:00,45.417,30
KTLX-20230103T012403-022719-236,training,2023-01-03T01:24:03+00:00,2023-01-03T02:27:19+00:00,63.267,30
