candidate,date,start,end,duration_minutes,frames,selected,split
20220424T113105-122023,2022-04-24,2022-04-24T11:31:05+00:00,2022-04-24T12:20:23+00:00,49.3,30,yes,training
20220424T131044-140027,2022-04-24,2022-04-24T13:10:44+00:00,2022-04-24T14:00:27+00:00,49.717,30,no,
20220424T140152-150404,2022-04-24,2022-04-24T14:01:52+00:00,2022-04-24T15:04:04+00:00,62.2,30,yes,training
20220424T201031-213153,2022-04-24,2022-04-24T20:10:31+00:00,2022-04-24T21:31:53+00:00,81.367,30,yes,training
20220424T224700-235905,2022-04-24,2022-04-24T22:47:00+00:00,2022-04-24T23:59:05+00:00,72.083,30,yes,training
20220425T000135-011443,2022-04-25,2022-04-25T00:01:35+00:00,2022-04-25T01:14:43+00:00,73.133,30,yes,training
20220425T022219-033700,2022-04-25,2022-04-25T02:22:19+00:00,2022-04-25T03:37:00+00:00,74.683,30,yes,training
20220425T040158-051148,2022-04-25,2022-04-25T04:01:58+00:00,2022-04-25T05:11:48+00:00,69.833,30,yes,training
20220425T051356-061611,2022-04-25,2022-04-25T05:13:56+00:00,2022-04-25T06:16:11+00:00,62.25,30,no,
20220425T071650-081702,2022-04-25,2022-04-25T07:16:50+00:00,2022-04-25T08:17:02+00:00,60.2,30,yes,training
20220425T082110-093747,2022-04-25,2022-04-25T08:21:10+00:00,2022-04-25T09:37:47+00:00,76.617,30,yes,training
20220428T053938-064104,2022-04-28,2022-04-28T05:39:38+00:00,2022-04-28T06:41:04+00:00,61.433,30,yes,training
20220428T071755-081832,2022-04-28,2022-04-28T07:17:55+00:00,2022-04-28T08:18:32+00:00,60.617,30,yes,training
20220428T082038-091810,2022-04-28,2022-04-28T08:20:38+00:00,2022-04-28T09:18:10+00:00,57.533,30,yes,training
20220428T093108-103320,2022-04-28,2022-04-28T09:31:08+00:00,2022-04-28T10:33:20+00:00,62.2,30,yes,training
20220428T103938-115237,2022-04-28,2022-04-28T10:39:38+00:00,2022-04-28T11:52:37+00:00,72.983,30,yes,training
20220429T060909-071015,2022-04-29,2022-04-29T06:09:09+00:00,2022-04-29T07:10:15+00:00,61.1,30,yes,training
20220429T074516-084603,2022-04-29,2022-04-29T07:45:16+00:00,2022-04-29T08:46:03+00:00,60.783,30,yes,training
20220429T090703-100832,2022-04-29,2022-04-29T09:07:03+00:00,2022-04-29T10:08:32+00:00,61.483,30,no,
20220429T101243-112829,2022-04-29,2022-04-29T10:12:43+00:00,2022-04-29T11:28:29+00:00,75.767,30,yes,training
20220429T125446-141143,2022-04-29,2022-04-29T12:54:46+00:00,2022-04-29T14:11:43+00:00,76.95,30,no,
20220429T212723-223013,2022-04-29,2022-04-29T21:27:23+00:00,2022-04-29T22:30:13+00:00,62.833,30,yes,training
20220429T224632-235144,2022-04-29,2022-04-29T22:46:32+00:00,2022-04-29T23:51:44+00:00,65.2,30,yes,training
20220430T004453-014810,2022-04-30,2022-04-30T00:44:53+00:00,2022-04-30T01:48:10+00:00,63.283,30,yes,training
20220430T055348-071921,2022-04-30,2022-04-30T05:53:48+00:00,2022-04-30T07:19:21+00:00,85.55,30,yes,training
20220430T082047-092458,2022-04-30,2022-04-30T08:20:47+00:00,2022-04-30T09:24:58+00:00,64.183,30,no,
20220430T093544-103404,2022-04-30,2022-04-30T09:35:44+00:00,2022-04-30T10:34:04+00:00,58.333,30,no,
20220430T103958-113505,2022-04-30,2022-04-30T10:39:58+00:00,2022-04-30T11:35:05+00:00,55.117,30,no,
20220430T113853-123420,2022-04-30,2022-04-30T11:38:53+00:00,2022-04-30T12:34:20+00:00,55.45,30,yes,training
20220430T131113-142734,2022-04-30,2022-04-30T13:11:13+00:00,2022-04-30T14:27:34+00:00,76.35,30,yes,training
20220502T020936-030901,2022-05-02,2022-05-02T02:09:36+00:00,2022-05-02T03:09:01+00:00,59.417,30,yes,training
20220502T035316-050825,2022-05-02,2022-05-02T03:53:16+00:00,2022-05-02T05:08:25+00:00,75.15,30,yes,training
20220502T062909-073547,2022-05-02,2022-05-02T06:29:09+00:00,2022-05-02T07:35:47+00:00,66.633,30,no,
20220502T073756-084104,2022-05-02,2022-05-02T07:37:56+00:00,2022-05-02T08:41:04+00:00,63.133,30,yes,training
20220502T085637-101118,2022-05-02,2022-05-02T08:56:37+00:00,2022-05-02T10:11:18+00:00,74.683,30,no,
20220502T111542-123251,2022-05-02,2022-05-02T11:15:42+00:00,2022-05-02T12:32:51+00:00,77.15,30,yes,training
20220502T130902-142541,2022-05-02,2022-05-02T13:09:02+00:00,2022-05-02T14:25:41+00:00,76.65,30,yes,training
20220502T151704-162750,2022-05-02,2022-05-02T15:17:04+00:00,2022-05-02T16:27:50+00:00,70.767,30,yes,training
20220502T164924-174945,2022-05-02,2022-05-02T16:49:24+00:00,2022-05-02T17:49:45+00:00,60.35,30,no,
20220502T202724-212152,2022-05-02,2022-05-02T20:27:24+00:00,2022-05-02T21:21:52+00:00,54.467,30,yes,training
20220502T212612-221140,2022-05-02,2022-05-02T21:26:12+00:00,2022-05-02T22:11:40+00:00,45.467,30,no,
20220502T223121-231939,2022-05-02,2022-05-02T22:31:21+00:00,2022-05-02T23:19:39+00:00,48.3,30,no,
20220503T001726-010547,2022-05-03,2022-05-03T00:17:26+00:00,2022-05-03T01:05:47+00:00,48.35,30,yes,training
20220503T011226-020114,2022-05-03,2022-05-03T01:12:26+00:00,2022-05-03T02:01:14+00:00,48.8,30,yes,training
20220503T020751-033014,2022-05-03,2022-05-03T02:07:51+00:00,2022-05-03T03:30:14+00:00,82.383,30,yes,training
20220503T035553-044915,2022-05-03,2022-05-03T03:55:53+00:00,2022-05-03T04:49:15+00:00,53.367,30,yes,training
20220503T051224-055732,2022-05-03,2022-05-03T05:12:24+00:00,2022-05-03T05:57:32+00:00,45.133,30,yes,training
20220503T065317-080038,2022-05-03,2022-05-03T06:53:17+00:00,2022-05-03T08:00:38+00:00,67.35,30,yes,training
20220504T100817-110530,2022-05-04,2022-05-04T10:08:17+00:00,2022-05-04T11:05:30+00:00,57.217,30,yes,training
20220504T112942-122730,2022-05-04,2022-05-04T11:29:42+00:00,2022-05-04T12:27:30+00:00,57.8,30,yes,training
20220504T124932-134559,2022-05-04,2022-05-04T12:49:32+00:00,2022-05-04T13:45:59+00:00,56.45,30,yes,training
20220504T141503-150756,2022-05-04,2022-05-04T14:15:03+00:00,2022-05-04T15:07:56+00:00,52.883,30,yes,training
20220504T151159-155913,2022-05-04,2022-05-04T15:11:59+00:00,2022-05-04T15:59:13+00:00,47.233,30,yes,training
20220504T160050-164615,2022-05-04,2022-05-04T16:00:50+00:00,2022-05-04T16:46:15+00:00,45.417,30,yes,training
20220504T170420-175111,2022-05-04,2022-05-04T17:04:20+00:00,2022-05-04T17:51:11+00:00,46.85,30,yes,training
20220504T175221-183817,2022-05-04,2022-05-04T17:52:21+00:00,2022-05-04T18:38:17+00:00,45.933,30,yes,training
20220504T184112-193228,2022-05-04,2022-05-04T18:41:12+00:00,2022-05-04T19:32:28+00:00,51.267,30,yes,training
20220504T193748-203240,2022-05-04,2022-05-04T19:37:48+00:00,2022-05-04T20:32:40+00:00,54.867,30,yes,training
20220504T211551-221321,2022-05-04,2022-05-04T21:15:51+00:00,2022-05-04T22:13:21+00:00,57.5,30,no,
20220504T222609-232225,2022-05-04,2022-05-04T22:26:09+00:00,2022-05-04T23:22:25+00:00,56.267,30,yes,training
20220505T005723-015602,2022-05-05,2022-05-05T00:57:23+00:00,2022-05-05T01:56:02+00:00,58.65,30,yes,training
20220505T174210-184206,2022-05-05,2022-05-05T17:42:10+00:00,2022-05-05T18:42:06+00:00,59.933,30,yes,training
20220505T185052-194817,2022-05-05,2022-05-05T18:50:52+00:00,2022-05-05T19:48:17+00:00,57.417,30,yes,training
20220505T195002-204532,2022-05-05,2022-05-05T19:50:02+00:00,2022-05-05T20:45:32+00:00,55.5,30,yes,training
20220505T205455-221023,2022-05-05,2022-05-05T20:54:55+00:00,2022-05-05T22:10:23+00:00,75.467,30,no,
20220514T082222-093038,2022-05-14,2022-05-14T08:22:22+00:00,2022-05-14T09:30:38+00:00,68.267,30,no,
20220514T125428-142004,2022-05-14,2022-05-14T12:54:28+00:00,2022-05-14T14:20:04+00:00,85.6,30,yes,training
20220514T142422-154911,2022-05-14,2022-05-14T14:24:22+00:00,2022-05-14T15:49:11+00:00,84.817,30,yes,training
20220515T011228-021405,2022-05-15,2022-05-15T01:12:28+00:00,2022-05-15T02:14:05+00:00,61.617,30,yes,training
20220515T031131-042412,2022-05-15,2022-05-15T03:11:31+00:00,2022-05-15T04:24:12+00:00,72.683,30,yes,training
20220515T044525-060259,2022-05-15,2022-05-15T04:45:25+00:00,2022-05-15T06:02:59+00:00,77.567,30,yes,training
20220515T061518-073010,2022-05-15,2022-05-15T06:15:18+00:00,2022-05-15T07:30:10+00:00,74.867,30,yes,training
20220515T073246-084714,2022-05-15,2022-05-15T07:32:46+00:00,2022-05-15T08:47:14+00:00,74.467,30,yes,training
20220516T001556-011030,2022-05-16,2022-05-16T00:15:56+00:00,2022-05-16T01:10:30+00:00,54.567,30,yes,training
20220516T011417-021242,2022-05-16,2022-05-16T01:14:17+00:00,2022-05-16T02:12:42+00:00,58.417,30,no,
20220516T021615-030736,2022-05-16,2022-05-16T02:16:15+00:00,2022-05-16T03:07:36+00:00,51.35,30,yes,training
20220517T053357-063848,2022-05-17,2022-05-17T05:33:57+00:00,2022-05-17T06:38:48+00:00,64.85,30,yes,training
20220517T065613-080929,2022-05-17,2022-05-17T06:56:13+00:00,2022-05-17T08:09:29+00:00,73.267,30,no,
20220517T092610-104132,2022-05-17,2022-05-17T09:26:10+00:00,2022-05-17T10:41:32+00:00,75.367,30,yes,training
20220519T053002-064936,2022-05-19,2022-05-19T05:30:02+00:00,2022-05-19T06:49:36+00:00,79.567,30,no,
20220519T073620-085102,2022-05-19,2022-05-19T07:36:20+00:00,2022-05-19T08:51:02+00:00,74.7,30,yes,training
20220519T090629-101831,2022-05-19,2022-05-19T09:06:29+00:00,2022-05-19T10:18:31+00:00,72.033,30,no,
20220531T192339-201928,2022-05-31,2022-05-31T19:23:39+00:00,2022-05-31T20:19:28+00:00,55.817,30,yes,training
20220531T203056-212914,2022-05-31,2022-05-31T20:30:56+00:00,2022-05-31T21:29:14+00:00,58.3,30,yes,training
20220531T215656-230313,2022-05-31,2022-05-31T21:56:56+00:00,2022-05-31T23:03:13+00:00,66.283,30,no,
20220601T011812-023856,2022-06-01,2022-06-01T01:18:12+00:00,2022-06-01T02:38:56+00:00,80.733,30,no,
20220601T025818-041903,2022-06-01,2022-06-01T02:58:18+00:00,2022-06-01T04:19:03+00:00,80.75,30,yes,training
20220601T053446-062641,2022-06-01,2022-06-01T05:34:46+00:00,2022-06-01T06:26:41+00:00,51.917,30,yes,training
20220601T074819-085207,2022-06-01,2022-06-01T07:48:19+00:00,2022-06-01T08:52:07+00:00,63.8,30,no,
20220601T095115-110842,2022-06-01,2022-06-01T09:51:15+00:00,2022-06-01T11:08:42+00:00,77.45,30,yes,training
20220601T111117-121914,2022-06-01,2022-06-01T11:11:17+00:00,2022-06-01T12:19:14+00:00,67.95,30,yes,training
20220601T132634-143505,2022-06-01,2022-06-01T13:26:34+00:00,2022-06-01T14:35:05+00:00,68.517,30,yes,training
20220601T161449-173149,2022-06-01,2022-06-01T16:14:49+00:00,2022-06-01T17:31:49+00:00,77.0,30,yes,training
20220601T181237-193024,2022-06-01,2022-06-01T18:12:37+00:00,2022-06-01T19:30:24+00:00,77.783,30,yes,training
20220601T193519-203613,2022-06-01,2022-06-01T19:35:19+00:00,2022-06-01T20:36:13+00:00,60.9,30,no,
20220601T204920-214239,2022-06-01,2022-06-01T20:49:20+00:00,2022-06-01T21:42:39+00:00,53.317,30,yes,training
20220601T221223-230600,2022-06-01,2022-06-01T22:12:23+00:00,2022-06-01T23:06:00+00:00,53.617,30,yes,training
20220602T001301-011120,2022-06-02,2022-06-02T00:13:01+00:00,2022-06-02T01:11:20+00:00,58.317,30,yes,training
20220602T013346-024235,2022-06-02,2022-06-02T01:33:46+00:00,2022-06-02T02:42:35+00:00,68.817,30,no,
20220602T024516-040319,2022-06-02,2022-06-02T02:45:16+00:00,2022-06-02T04:03:19+00:00,78.05,30,yes,training
20220602T040554-052353,2022-06-02,2022-06-02T04:05:54+00:00,2022-06-02T05:23:53+00:00,77.983,30,yes,training
20220602T063538-075028,2022-06-02,2022-06-02T06:35:38+00:00,2022-06-02T07:50:28+00:00,74.833,30,no,
20220602T082959-094539,2022-06-02,2022-06-02T08:29:59+00:00,2022-06-02T09:45:39+00:00,75.667,30,no,
20220602T102952-113941,2022-06-02,2022-06-02T10:29:52+00:00,2022-06-02T11:39:41+00:00,69.817,30,yes,training
20220602T114440-124950,2022-06-02,2022-06-02T11:44:40+00:00,2022-06-02T12:49:50+00:00,65.167,30,yes,training
20220602T125421-140023,2022-06-02,2022-06-02T12:54:21+00:00,2022-06-02T14:00:23+00:00,66.033,30,no,
20220602T143413-153411,2022-06-02,2022-06-02T14:34:13+00:00,2022-06-02T15:34:11+00:00,59.967,30,yes,training
20220602T160526-170540,2022-06-02,2022-06-02T16:05:26+00:00,2022-06-02T17:05:40+00:00,60.233,30,yes,training
20220602T170950-181825,2022-06-02,2022-06-02T17:09:50+00:00,2022-06-02T18:18:25+00:00,68.583,30,yes,training
20220606T024416-035500,2022-06-06,2022-06-06T02:44:16+00:00,2022-06-06T03:55:00+00:00,70.733,30,yes,training
20220606T035736-051023,2022-06-06,2022-06-06T03:57:36+00:00,2022-06-06T05:10:23+00:00,72.783,30,no,
20220606T051258-062059,2022-06-06,2022-06-06T05:12:58+00:00,2022-06-06T06:20:59+00:00,68.017,30,no,
20220606T062247-072329,2022-06-06,2022-06-06T06:22:47+00:00,2022-06-06T07:23:29+00:00,60.7,30,yes,training
20220606T073111-084650,2022-06-06,2022-06-06T07:31:11+00:00,2022-06-06T08:46:50+00:00,75.65,30,yes,training
20220606T091608-102909,2022-06-06,2022-06-06T09:16:08+00:00,2022-06-06T10:29:09+00:00,73.017,30,no,
20220606T104937-115338,2022-06-06,2022-06-06T10:49:37+00:00,2022-06-06T11:53:38+00:00,64.017,30,yes,training
20220607T044146-054224,2022-06-07,2022-06-07T04:41:46+00:00,2022-06-07T05:42:24+00:00,60.633,30,yes,training
20220607T054620-064408,2022-06-07,2022-06-07T05:46:20+00:00,2022-06-07T06:44:08+00:00,57.8,30,yes,training
20220607T065212-075140,2022-06-07,2022-06-07T06:52:12+00:00,2022-06-07T07:51:40+00:00,59.467,30,yes,training
20220607T075541-085348,2022-06-07,2022-06-07T07:55:41+00:00,2022-06-07T08:53:48+00:00,58.117,30,no,
20220607T091621-102521,2022-06-07,2022-06-07T09:16:21+00:00,2022-06-07T10:25:21+00:00,69.0,30,yes,training
20220607T112404-121821,2022-06-07,2022-06-07T11:24:04+00:00,2022-06-07T12:18:21+00:00,54.283,30,yes,training
20220607T122817-132402,2022-06-07,2022-06-07T12:28:17+00:00,2022-06-07T13:24:02+00:00,55.75,30,yes,training
20220607T133146-142853,2022-06-07,2022-06-07T13:31:46+00:00,2022-06-07T14:28:53+00:00,57.117,30,no,
20220607T143121-153333,2022-06-07,2022-06-07T14:31:21+00:00,2022-06-07T15:33:33+00:00,62.2,30,yes,training
20220607T154001-164718,2022-06-07,2022-06-07T15:40:01+00:00,2022-06-07T16:47:18+00:00,67.283,30,no,
20220607T172115-181519,2022-06-07,2022-06-07T17:21:15+00:00,2022-06-07T18:15:19+00:00,54.067,30,no,
20220608T055531-064356,2022-06-08,2022-06-08T05:55:31+00:00,2022-06-08T06:43:56+00:00,48.417,30,no,
20220608T064858-080616,2022-06-08,2022-06-08T06:48:58+00:00,2022-06-08T08:06:16+00:00,77.3,30,no,
20220608T082729-092227,2022-06-08,2022-06-08T08:27:29+00:00,2022-06-08T09:22:27+00:00,54.967,30,no,
20220608T094522-103548,2022-06-08,2022-06-08T09:45:22+00:00,2022-06-08T10:35:48+00:00,50.433,30,yes,training
20220608T112404-122105,2022-06-08,2022-06-08T11:24:04+00:00,2022-06-08T12:21:05+00:00,57.017,30,yes,training
20220608T130157-135514,2022-06-08,2022-06-08T13:01:57+00:00,2022-06-08T13:55:14+00:00,53.283,30,yes,training
20220608T144142-152826,2022-06-08,2022-06-08T14:41:42+00:00,2022-06-08T15:28:26+00:00,46.733,30,yes,training
20220608T153302-162210,2022-06-08,2022-06-08T15:33:02+00:00,2022-06-08T16:22:10+00:00,49.133,30,no,
20220608T162706-174210,2022-06-08,2022-06-08T16:27:06+00:00,2022-06-08T17:42:10+00:00,75.067,30,yes,training
20220608T183532-194216,2022-06-08,2022-06-08T18:35:32+00:00,2022-06-08T19:42:16+00:00,66.733,30,yes,training
20220608T195136-205430,2022-06-08,2022-06-08T19:51:36+00:00,2022-06-08T20:54:30+00:00,62.9,30,yes,training
20220609T202902-212850,2022-06-09,2022-06-09T20:29:02+00:00,2022-06-09T21:28:50+00:00,59.8,30,yes,training
20220610T030424-042221,2022-06-10,2022-06-10T03:04:24+00:00,2022-06-10T04:22:21+00:00,77.95,30,yes,training
20220610T043316-053617,2022-06-10,2022-06-10T04:33:16+00:00,2022-06-10T05:36:17+00:00,63.017,30,yes,training
20220610T054122-064218,2022-06-10,2022-06-10T05:41:22+00:00,2022-06-10T06:42:18+00:00,60.933,30,yes,training
20220610T073846-082738,2022-06-10,2022-06-10T07:38:46+00:00,2022-06-10T08:27:38+00:00,48.867,30,yes,training
20220610T083102-091739,2022-06-10,2022-06-10T08:31:02+00:00,2022-06-10T09:17:39+00:00,46.617,30,no,
20220610T091850-100621,2022-06-10,2022-06-10T09:18:50+00:00,2022-06-10T10:06:21+00:00,47.517,30,yes,training
20220610T102619-113102,2022-06-10,2022-06-10T10:26:19+00:00,2022-06-10T11:31:02+00:00,64.717,30,yes,training
20220610T114147-130638,2022-06-10,2022-06-10T11:41:47+00:00,2022-06-10T13:06:38+00:00,84.85,30,yes,training
20220709T002655-015234,2022-07-09,2022-07-09T00:26:55+00:00,2022-07-09T01:52:34+00:00,85.65,30,yes,training
20220729T055218-072141,2022-07-29,2022-07-29T05:52:18+00:00,2022-07-29T07:21:41+00:00,89.383,30,no,
20220729T080938-093438,2022-07-29,2022-07-29T08:09:38+00:00,2022-07-29T09:34:38+00:00,85.0,30,yes,training
